#字	字母	八聲	十五音
#君部
X	君	二	入
狁	君	二	入
吮	君	二	入
⿰口間（口）	君	三	入
吶	君	四	入
⿵內口	君	四	入
硉	君	四	入
𣋆（日動）	君	五	入
㲝	君	五	入
撋	君	五	入
潤	君	六	入
閏	君	七	入
閠	君	七	入
⿰口⿵冂台	君	八	入
矹	君	八	入
孫	君	一	時
猻	君	一	時
蓀	君	一	時
飱	君	一	時
槂	君	一	時
笋	君	二	時
筍	君	二	時
簨	君	二	時
扻	君	二	時
損	君	二	時
舜	君	三	時
蕣	君	三	時
瞬	君	三	時
巽	君	三	時
噀	君	三	時
遜	君	三	時
潠	君	三	時
䀢	君	三	時
戌	君	四	時
蟀	君	四	時
蜶	君	四	時
恤	君	四	時
卹	君	四	時
銊	君	四	時
窣	君	四	時
𩘱	君	四	時
旬	君	五	時
⿰土旬	君	五	時
洵	君	五	時
循	君	五	時
狥	君	五	時
純	君	五	時
淳	君	五	時
荀	君	五	時
馴	君	五	時
郇	君	五	時
順	君	六	時
𤺻	君	七	時
述	君	八	時
術	君	八	時
䢤	君	八	時
溫	君	一	英
瘟	君	一	英
熅	君	一	英
⿰日𥁕	君	一	英
縕	君	一	英
氳	君	一	英
蘊	君	一	英
鰮	君	一	英
媼	君	一	英
⿰豕𥁕	君	一	英
穩	君	二	英
殞	君	二	英
隕	君	二	英
慍	君	二	英
韞	君	二	英
蘊	君	二	英
塭	君	三	英
搵	君	三	英
鬱	君	四	英
兀	君	四	英
杌	君	四	英
⿰扌兀	君	四	英
菀	君	四	英
犚	君	四	英
熨	君	四	英
X	君	四	英
焚	君	五	英
耘	君	五	英
紜	君	五	英
芸	君	五	英
勻	君	五	英
沄	君	五	英
坛	君	五	英
篔	君	五	英
云	君	五	英
溳	君	六	英
滋	君	六	英
運	君	七	英
韻	君	七	英
暈	君	七	英
鄆	君	七	英
緷	君	七	英
噊	君	八	英
眠	君	八	英
睡	君	八	英
蚊	君	一	文
汶	君	一	文
呅	君	一	文
蚉	君	一	文
炆	君	一	文
閿	君	一	文
㥃	君	二	文
捫	君	二	文
沕	君	三	文
𧥲	君	三	文
吻	君	四	文
魩	君	四	文
鯡	君	四	文
𭿼	君	四	文
雯	君	四	文
聞	君	四	文
䎹	君	四	文
捫	君	四	文
們	君	四	文
文	君	五	文
旻	君	五	文
紋	君	五	文
門	君	五	文
璊	君	五	文
聞	君	六	文
䎹	君	六	文
悶	君	七	文
圽	君	八	文
⿱艹沒	君	八	文
沒	君	八	文
疫	君	八	文
物	君	八	文
𢪱	君	八	文
歿	君	八	文
